,EmployeeID,Age,Gender,MaritalStatus,DateBirth,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,OverTime,DistanceFromHome,RemoteWork,BusinessTravel,TrainingTimesLastYear,JobRole,JobLevel,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,Salary
0,162,51,Male,Unknown,1972,3,Unknown,7,11.144343986514773,20,15,15,1,3,3,3.0,3,3.0,No,0.0,6,1,Unknown,5, research director ,5,684.0,51.0,6462.0,13,0,1000000000
1,259,52,Male,Unknown,1971,4,Life Sciences,0,34.0,33,11,9,3,3,1,3.0,2,3.0,No,0.26537164193622714,1,1,Unknown,5, manager ,5,699.0,65.0,5678.0,14,1,1000000000
2,319,42,Male,Married,1981,2,Technical Degree,1,22.0,22,11,15,3,4,4,2.787873676824463,3,3.0,No,0.0,4,1,travel_rarely,3, manager ,5,532.0,58.0,4933.0,11,0,1000000000
3,nan1,47,Female,Married,1976,4,Medical,3,10.844379868467966,20,5,6,1,3,2,2.793950193781466,3,3.0,No,0.25798448699088306,2,0,travel_rarely,2, research director ,4,359.0,82.0,26703.0,19,2,1000000000
4,nan2,46,Female,Divorced,1977,3,Technical Degree,2,11.732126632216962,19,2,8,1,1,4,3.0,4,3.0,No,0.0,3,0,Unknown,5, sales executive ,4,1319.0,45.0,7739.0,12,1,1000000000
5,1900,48,Female,Unknown,1975,3,Medical,3,10.619556152771818,22,4,7,4,4,2,3.0,3,3.0,No,0.0,22,1,Unknown,3, manager ,4,117.0,58.0,2437.0,11,1,1000000000
6,81,59,Female,Unknown,1964,3,Life Sciences,7,28.0,21,7,9,1,1,4,2.0,3,3.0,No,0.269367378161984,25,1,Unknown,3, sales executive ,3,1435.0,99.0,2354.0,11,0,1000000000
7,387,42,Male,Married,1981,1,Unknown,1,20.0,20,11,6,2,3,3,3.0,3,4.0,No,0.0,1,0,travel_rarely,3, sales executive ,2,635.0,99.0,24532.0,25,0,1000000000
8,nan3,41,Female,Married,1982,5,Unknown,7,22.0,18,11,8,2,1,2,3.0,3,3.0,No,0.0,2,1,Unknown,2, manager ,4,1276.0,91.0,5626.0,16,1,1000000000
9,999,41,Male,Unknown,1982,3,Unknown,2,21.0,18,0,11,1,3,2,4.0,3,3.0,No,0.0,9,0,travel_frequently,2, research director ,5,840.0,64.0,3735.0,17,1,1000000000
10,1035,41,Female,Unknown,1982,1,Unknown,1,10.739834306621232,21,5,10,2,3,2,3.0,1,4.0,No,0.0,7,0,non-travel,3, research director ,5,247.0,55.0,20284.0,22,2,1000000000
11,nan4,56,Male,Married,1967,3,Life Sciences,4,33.0,19,15,9,4,2,1,3.0,3,3.1472589858208297,No,1.0,23,0,travel_rarely,0, manufacturing director ,4,1369.0,68.0,18235.0,12,1,1000000000
12,nan5,38,Female,Married,1985,3,Medical,3,10.69861180052574,18,1,11,2,3,1,3.0,1,3.0,No,0.0,10,1,Unknown,3, research director ,3,201.0,99.0,3376.0,12,1,1000000000
13,58,41,Female,Married,1982,3,Unknown,1,11.770214604375365,22,15,8,2,3,4,3.0,3,3.0,Yes,0.0,12,0,travel_rarely,0, research director ,5,1360.0,49.0,16280.0,12,0,1000000000
14,nan6,55,Male,Single,1968,4,Medical,8,11.15206294049684,24,2,15,3,2,4,3.0,4,3.0,No,0.0,14,1,Unknown,3, research director ,5,692.0,61.0,13339.0,11,0,1000000000
15,558,40,Female,Unknown,1983,4,Unknown,0,11.806334573938447,20,1,12,3,3,4,3.0,3,3.0,No,0.0,2,0,travel_rarely,2, manager ,5,1398.0,79.0,13022.0,14,0,1000000000
16,825,58,Male,Single,1965,4,Unknown,7,40.0,31,13,8,4,2,4,3.0,3,3.0,Yes,1.0,2,0,travel_rarely,2, research director ,5,286.0,31.0,25761.0,12,0,1000000000
17,nan7,46,Female,Unknown,1977,3,Unknown,8,28.0,26,15,9,3,1,1,3.0,3,4.0,No,0.2820000594278937,2,0,travel_rarely,2, manager ,4,1402.0,69.0,24097.0,23,0,1000000000
18,nan8,35,Male,Married,1988,5,Life Sciences,1,11.269250877581289,16,1,10,2,1,4,3.0,4,3.0,No,0.2837008190282238,13,0,Unknown,2, research scientist ,2,819.0,48.0,26312.0,11,0,1000000000
19,nan9,40,Female,Unknown,1983,3,Life Sciences,1,18.0,18,14,12,1,3,4,2.7472296577577926,2,3.0,No,0.26855653108489125,15,1,travel_rarely,2, manufacturing director ,3,884.0,80.0,25800.0,13,2,1000000000
20,1712,45,Male,Unknown,1978,1,Unknown,3,25.0,23,14,4,3,3,4,2.0,2,4.0,No,0.2770352007663909,1,0,non-travel,3, healthcare representative ,3,1238.0,74.0,3395.0,23,1,1000000000
21,73,33,Female,Single,1990,2,Life Sciences,1,15.0,15,8,12,1,4,3,3.0,3,3.0,No,1.0,1,1,Unknown,1, research director ,3,515.0,98.0,15146.0,12,0,1000000000
22,nan10,36,Female,Divorced,1987,3,Unknown,1,17.0,17,12,8,3,3,2,3.0,3,3.1483053947803,No,0.2861530773815439,8,1,Unknown,2, healthcare representative ,3,1223.0,59.0,8202.0,13,3,1000000000
23,820,47,Female,Married,1976,2,Other,1,10.697484370733084,26,3,0,3,4,3,2.0,3,3.0,No,0.2763204187196485,2,0,Unknown,3, manager ,4,202.0,33.0,12982.0,11,1,1000000000
24,nan11,36,Male,Unknown,1987,2,Life Sciences,1,18.0,18,4,11,4,4,4,2.754109949081746,3,3.0,No,0.2803063544916675,42,1,travel_rarely,1, sales executive ,2,928.0,56.0,2823.0,14,1,1000000000
25,nan12,35,Female,Married,1988,3,Life Sciences,1,17.0,17,5,15,4,3,2,3.0,2,4.0,No,1.0,9,0,Unknown,2, manufacturing director ,3,607.0,66.0,23457.0,20,1,1000000000
