,EmployeeID,Age,Gender,MaritalStatus,NumberChildren,DateBirth,Over18,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,OverTime,DistanceFromHome,RemoteWork,BusinessTravel,TrainingTimesLastYear,Department,JobRole,JobLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,Salary,StandardHours
0,162,51,Male,,,1972,Y,3,,7,,20,,15,15,1,3,3,3.0,3,3.0,No,No,6,1,,5,, research director ,5,684.0,51.0,6462.0,19537.0,13,0,1000000000,
1,259,52,Male,,,1971,,4,Life Sciences,0,"34,0",33,,11,9,1,3,1,3.0,2,3.0,No,,1,1,,5,, manager ,5,699.0,65.0,5678.0,19999.0,14,1,1000000000,
2,319,42,Male,Married,,1981,,2,Technical Degree,1,"22,0",22,,11,15,1,4,4,,3,3.0,No,No,4,1,travel_rarely,3, Research & Development , manager ,5,532.0,58.0,4933.0,19232.0,11,0,1000000000,
3,nan1,47,Female,Married,,1976,Y,4,Medical,3,,20,,5,6,1,3,2,,3,3.0,No,,2,0,travel_rarely,2,, research director ,4,359.0,82.0,26703.0,17169.0,19,2,1000000000,
4,nan2,46,Female,Divorced,,1977,Y,3,Technical Degree,2,,19,,2,8,1,1,4,3.0,4,3.0,No,No,3,0,,5,, sales executive ,4,1319.0,45.0,7739.0,,12,1,1000000000,
5,1900,48,Female,,,1975,,3,Medical,3,,22,,4,7,1,4,2,3.0,3,3.0,No,No,22,1,,3, Research & Development , manager ,4,117.0,58.0,2437.0,17174.0,11,1,1000000000,
6,81,59,Female,,,1964,Y,3,Life Sciences,7,"28,0",21,,7,9,1,1,4,2.0,3,3.0,No,,25,1,,3,, sales executive ,3,1435.0,99.0,2354.0,,11,0,1000000000,
7,387,42,Male,Married,,1981,,1,,1,"20,0",20,,11,6,1,3,3,3.0,3,4.0,No,No,1,0,travel_rarely,3,, sales executive ,2,635.0,99.0,24532.0,,25,0,1000000000,
8,nan3,41,Female,Married,,1982,,5,,7,"22,0",18,,11,8,1,1,2,3.0,3,3.0,No,No,2,1,,2,, manager ,4,1276.0,91.0,5626.0,16595.0,16,1,1000000000,
9,999,41,Male,,,1982,,3,,2,"21,0",18,,0,11,1,3,2,4.0,3,3.0,No,No,9,0,travel_frequently,2,, research director ,5,840.0,64.0,3735.0,,17,1,1000000000,
10,1035,41,Female,,,1982,Y,1,,1,,21,,5,10,1,3,2,3.0,1,4.0,No,No,7,0,non-travel,3,, research director ,5,247.0,55.0,20284.0,19973.0,22,2,1000000000,
11,nan4,56,Male,Married,,1967,,3,Life Sciences,4,"33,0",19,,15,9,1,2,1,3.0,3,,No,Yes,23,0,travel_rarely,0,, manufacturing director ,4,1369.0,68.0,18235.0,13402.0,12,1,1000000000,
12,nan5,38,Female,Married,,1985,Y,3,Medical,3,,18,,1,11,1,3,1,3.0,1,3.0,No,No,10,1,,3,, research director ,3,201.0,99.0,3376.0,13206.0,12,1,1000000000,
13,58,41,Female,Married,,1982,,3,,1,,22,,15,8,1,3,4,3.0,3,3.0,Yes,No,12,0,travel_rarely,0,, research director ,5,1360.0,49.0,16280.0,19545.0,12,0,1000000000,
14,nan6,55,Male,Single,,1968,,4,Medical,8,,24,,2,15,1,2,4,3.0,4,3.0,No,No,14,1,,3,, research director ,5,692.0,61.0,13339.0,,11,0,1000000000,
15,558,40,Female,,,1983,,4,,0,,20,,1,12,1,3,4,3.0,3,3.0,No,No,2,0,travel_rarely,2,, manager ,5,1398.0,79.0,13022.0,18041.0,14,0,1000000000,
16,825,58,Male,Single,,1965,Y,4,,7,"40,0",31,,13,8,1,2,4,3.0,3,3.0,Yes,Yes,2,0,travel_rarely,2,, research director ,5,286.0,31.0,25761.0,19246.0,12,0,1000000000,
17,nan7,46,Female,,,1977,,3,,8,"28,0",26,,15,9,1,1,1,3.0,3,4.0,No,,2,0,travel_rarely,2,, manager ,4,1402.0,69.0,24097.0,,23,0,1000000000,
18,nan8,35,Male,Married,,1988,,5,Life Sciences,1,,16,,1,10,1,1,4,3.0,4,3.0,No,,13,0,,2,, research scientist ,2,819.0,48.0,26312.0,,11,0,1000000000,
19,nan9,40,Female,,,1983,Y,3,Life Sciences,1,"18,0",18,,14,12,1,3,4,,2,3.0,No,,15,1,travel_rarely,2,, manufacturing director ,3,884.0,80.0,25800.0,,13,2,1000000000,
20,1712,45,Male,,,1978,Y,1,,3,"25,0",23,,14,4,1,3,4,2.0,2,4.0,No,,1,0,non-travel,3, Research & Development , healthcare representative ,3,1238.0,74.0,3395.0,10748.0,23,1,1000000000,
21,73,33,Female,Single,,1990,,2,Life Sciences,1,"15,0",15,,8,12,1,4,3,3.0,3,3.0,No,Yes,1,1,,1,, research director ,3,515.0,98.0,15146.0,,12,0,1000000000,
22,nan10,36,Female,Divorced,,1987,Y,3,,1,"17,0",17,,12,8,1,3,2,3.0,3,,No,,8,1,,2,, healthcare representative ,3,1223.0,59.0,8202.0,,13,3,1000000000,
23,820,47,Female,Married,,1976,,2,Other,1,,26,,3,0,1,4,3,2.0,3,3.0,No,,2,0,,3,, manager ,4,202.0,33.0,12982.0,16752.0,11,1,1000000000,80.0
24,nan11,36,Male,,,1987,Y,2,Life Sciences,1,"18,0",18,,4,11,4,4,4,,3,3.0,No,,42,1,travel_rarely,1,, sales executive ,2,928.0,56.0,2823.0,6201.0,14,1,1000000000,
25,nan12,35,Female,Married,,1988,Y,3,Life Sciences,1,"17,0",17,,5,15,1,3,2,3.0,2,4.0,No,Yes,9,0,,2,, manufacturing director ,3,607.0,66.0,23457.0,,20,1,1000000000,80.0
26,nan13,52,Female,Married,,1971,Y,1,,1,"33,0",32,,6,9,1,4,4,3.0,1,3.0,Yes,No,2,1,,3,, manager ,5,266.0,57.0,25846.0,19845.0,15,1,1000000000,
27,1294,36,Female,Single,,1987,Y,4,Life Sciences,9,"18,0",16,,5,12,1,2,4,3.0,3,3.0,No,Yes,2,0,,2,, manufacturing director ,2,429.0,53.0,2323.0,,11,0,1000000000,
28,nan14,33,Male,Married,,1990,Y,4,Life Sciences,1,"15,0",15,,5,7,1,3,2,3.0,3,3.0,No,,28,1,travel_rarely,3,, laboratory technician ,2,589.0,79.0,22949.0,,12,1,1000000000,
29,1774,34,Male,,,1989,Y,3,Life Sciences,1,"15,0",15,,0,7,1,3,3,3.0,3,3.0,No,Yes,10,1,non-travel,3, Sales , sales executive ,2,,87.0,12313.0,4001.0,14,1,1000000000,
30,1815,41,Female,Divorced,,1982,,1,,0,,22,,13,5,3,3,4,4.0,3,3.0,No,,37,1,,3, Sales , sales executive ,3,,81.0,26458.0,10447.0,13,1,1000000000,
31,1993,47,Male,,,1976,,3,Medical,2,"25,0",17,,12,11,1,3,2,3.0,3,4.0,No,,25,1,,3, Research & Development , healthcare representative ,3,1180.0,84.0,13084.0,,23,0,1000000000,
32,32,53,Female,,,1970,,3,,4,"26,0",14,,4,8,1,3,4,2.0,3,3.0,No,,5,1,travel_rarely,3,, manager ,5,1282.0,58.0,10735.0,,11,1,1000000000,
33,100,35,Male,Single,,1988,Y,4,Marketing,0,"16,0",15,,2,8,1,1,2,3.0,2,,No,No,1,0,,2,, sales executive ,2,776.0,32.0,23016.0,,14,0,1000000000,80.0
34,nan15,34,Female,Single,,1989,Y,4,Other,1,"16,0",16,,2,10,1,3,3,3.0,3,3.0,No,,6,1,travel_rarely,3,, research scientist ,2,665.0,41.0,12482.0,,14,0,1000000000,
35,244,46,Female,Divorced,,1977,,2,,1,"24,0",24,,15,7,1,1,3,3.0,3,4.0,No,No,1,1,travel_rarely,2,, sales executive ,3,526.0,92.0,2137.0,,25,3,1000000000,
36,327,43,Female,Married,,1980,,3,,5,"22,0",17,,1,9,1,4,3,3.0,3,4.0,No,,16,1,,3,, manager ,4,1034.0,80.0,7744.0,16064.0,22,1,1000000000,
