,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
0,684,51,6462,19537,13,0
1,699,65,5678,19999,14,1
2,532,58,4933,19232,11,0
3,359,82,26703,17169,19,2
4,1319,45,7739,,12,1
5,117,58,2437,17174,11,1
6,1435,99,2354,,11,0
7,635,99,24532,,25,0
8,1276,91,5626,16595,16,1
9,840,64,3735,,17,1
10,247,55,20284,19973,22,2
11,1369,68,18235,13402,12,1
12,201,99,3376,13206,12,1
13,1360,49,16280,19545,12,0
14,692,61,13339,,11,0
15,1398,79,13022,18041,14,0
16,286,31,25761,19246,12,0
17,1402,69,24097,,23,0
18,819,48,26312,,11,0
19,884,80,25800,,13,2
20,1238,74,3395,10748,23,1
21,515,98,15146,,12,0
22,1223,59,8202,,13,3
23,202,33,12982,16752,11,1
24,928,56,2823,6201,14,1
25,607,66,23457,,20,1
26,266,57,25846,19845,15,1
27,429,53,2323,,11,0
28,589,79,22949,,12,1
29,,87,12313,4001,14,1
30,,81,26458,10447,13,1
31,1180,84,13084,,23,0
32,1282,58,10735,,11,1
33,776,32,23016,,14,0
34,665,41,12482,,14,0
35,526,92,2137,,25,3
36,1034,80,7744,16064,22,1
37,1403,47,20251,3210,11,1
38,1499,80,2845,10266,19,0
39,580,48,23772,10475,21,1
40,859,98,19124,6162,12,1
41,263,59,3119,4721,13,0
42,1376,,13938,,13,1
43,885,43,8269,,16,0
44,1003,74,21029,4615,23,3
45,1321,86,7636,,15,2
46,,30,25796,,20,0
47,394,92,19494,16959,12,2
48,1372,42,15881,,12,0
49,,65,24624,,11,0
50,1333,80,16292,,13,1
51,228,51,11380,,12,1
52,737,55,21530,10306,17,0
53,823,81,22539,,13,0
54,667,57,26236,,21,1
55,301,88,10436,5406,24,1
56,573,79,15717,,12,3
57,,96,5549,,14,0
58,1329,47,14590,5902,14,1
59,630,67,8552,10855,11,1
60,,62,9945,5914,16,0
61,1063,72,23866,,15,2
62,1017,82,19368,6646,13,0
63,1296,,5335,,23,1
64,939,,4161,13973,18,1
65,1355,78,22245,,14,0
66,1448,53,11737,13320,18,1
67,200,32,7744,,25,0
68,1202,89,13888,,20,3
69,404,98,6163,6687,11,0
70,208,52,12250,,12,1
71,813,50,21981,,15,3
72,465,41,11652,,19,1
73,1189,90,9867,4735,15,2
74,,79,13637,,18,3
75,1001,92,19271,,12,1
76,1394,58,18115,,16,1
77,161,42,15471,,25,1
78,288,99,15830,,19,3
79,682,37,24409,13872,13,0
80,1354,45,5615,,12,0
81,147,94,3465,,12,1
82,119,76,9647,,12,2
83,1413,42,6599,,14,1
84,452,81,18938,19045,14,0
85,334,88,15896,16015,19,0
86,1132,48,10942,9613,17,3
87,,92,15682,11510,14,1
88,982,59,4345,,11,1
89,480,31,4156,4306,12,1
90,1099,88,9314,17046,15,1
91,672,78,9129,,16,0
92,1379,64,6759,5067,19,0
93,583,57,6975,,11,1
94,1492,61,26542,,20,1
95,1050,65,17970,,13,1
96,117,60,6311,,13,1
97,469,46,9256,3692,12,0
98,,94,2493,,16,0
99,237,83,19196,19847,24,1
100,1440,55,4944,2308,25,1
101,1291,65,3525,,24,1
102,1157,57,11912,,14,1
103,1336,100,7129,,13,3
104,1224,91,13583,,12,0
105,735,86,26496,5747,15,0
106,,48,24032,10422,19,2
107,1389,51,10195,,11,1
108,638,40,3142,,13,1
109,1240,48,13982,6347,19,0
110,194,60,10901,2348,18,1
111,1339,41,8053,,12,1
112,111,66,11012,3072,11,2
113,,45,14074,,17,0
114,1469,81,15736,12490,16,2
115,470,84,23687,,13,1
116,1232,96,5100,8020,15,2
117,1249,97,20308,,18,1
118,117,99,5355,17068,14,0
119,798,48,14034,8943,24,1
120,672,54,21141,19272,15,1
121,549,75,9278,,14,2
122,570,30,5431,,13,3
123,1232,39,25713,,14,0
124,541,48,7246,,11,1
125,164,61,3809,,13,2
126,1117,83,9873,,23,0
127,619,85,18659,,11,0
128,319,56,6950,,21,1
129,956,78,22087,5577,12,2
130,1245,58,2125,,17,1
131,1397,42,7660,2691,12,1
132,527,63,5207,,13,0
133,213,49,25995,,11,0
134,,72,20206,,18,0
135,527,51,22477,7403,11,1
136,882,,6812,,13,1
137,330,65,24608,8823,18,1
138,406,,15596,,12,1
139,217,78,23238,,20,0
140,481,44,2447,,12,0
141,669,97,25755,,20,0
142,1465,63,9369,3579,21,1
143,685,85,23474,17779,14,0
144,1062,96,17198,,19,0
145,1099,88,8751,18213,11,1
146,177,37,25592,13577,15,1
147,1199,92,17477,19190,14,2
148,648,56,21833,,11,2
149,412,94,17334,17123,13,2
150,282,58,6992,19187,14,1
151,770,84,17588,,11,1
152,601,53,12023,10008,14,0
153,855,54,18706,,11,0
154,332,51,9769,7988,13,0
155,1326,81,15891,,18,0
156,748,74,16458,,13,0
157,405,93,2721,,24,1
158,790,40,7815,,23,0
159,1050,87,24456,,20,1
160,971,64,12288,7083,14,0
161,1370,87,16213,4723,18,0
162,750,46,25348,3407,17,2
163,880,36,10414,,24,0
164,678,35,20338,2929,12,0
165,1179,73,6069,,17,1
166,350,52,22577,,22,1
167,1266,63,6060,,13,1
168,574,30,16873,,17,1
169,189,71,25811,,18,1
170,,37,14811,,12,0
171,692,73,26849,,11,1
172,310,72,3666,,11,1
173,722,60,8828,12031,11,1
174,1219,78,22021,15427,16,0
175,994,37,2975,,15,0
176,721,58,10781,,23,0
177,853,71,11031,,22,1
178,427,,10877,6162,22,1
179,852,55,15998,5126,12,2
180,669,64,13596,9619,16,0
181,1334,63,19760,,12,3
182,1093,87,24301,5010,16,0
183,,94,11439,,13,2
184,967,43,15589,,14,0
185,465,56,4609,,12,1
186,989,46,6499,19033,14,1
187,1195,65,20462,,23,1
188,1045,32,25812,10400,11,0
189,829,88,20925,,22,0
190,663,47,10056,,14,3
191,319,41,2539,2793,17,1
192,1300,62,24447,,17,2
193,1105,47,6927,5674,15,1
194,906,91,16985,,14,1
195,849,81,26707,,17,1
196,1275,64,11934,,13,2
197,1218,52,8213,19197,14,1
198,422,41,3854,,11,0
199,1398,69,2890,8412,11,0
200,1274,,14394,,25,1
201,1076,70,3164,3348,11,0
202,1207,74,3297,,11,3
203,430,80,21146,5309,15,2
204,933,98,11806,,13,1
205,1184,43,5860,7654,18,2
206,,42,8842,12808,16,1
207,586,48,21816,,22,1
208,890,81,19028,,22,0
209,379,48,8891,,14,1
210,1425,68,4821,6586,17,1
211,1188,45,24406,,13,1
212,938,79,12287,2519,21,0
213,1053,70,13829,17099,15,1
214,722,38,20489,,11,0
215,248,42,14039,,15,1
216,796,51,15669,,11,0
217,174,56,11879,13120,17,1
218,408,45,11162,,13,1
219,,54,26342,3131,13,1
220,977,56,9961,,13,1
221,536,82,21708,,14,2
222,135,46,22534,4444,13,2
223,1476,55,16392,6674,11,3
224,587,57,8935,9852,19,1
225,495,,26582,17861,13,0
226,523,98,22455,,13,0
227,507,66,23553,,12,0
228,1055,76,22456,,21,1
229,1445,100,8931,7446,11,0
230,218,55,25178,13757,11,1
231,447,39,19764,16598,12,0
232,829,71,11929,,14,2
233,1029,91,21195,,19,0
234,674,47,3031,4285,17,0
235,,40,18611,10124,14,1
236,538,66,20933,,12,3
237,740,64,5323,9714,11,1
238,1245,80,12355,9924,11,1
239,1234,41,20689,11245,15,1
240,170,76,10302,3069,15,1
241,1130,66,19332,,12,1
242,584,91,18685,,25,1
243,918,35,15869,9241,12,0
244,792,77,8989,6472,15,1
245,611,88,4349,,14,0
246,,90,6194,3055,15,2
247,1383,90,25949,8321,13,1
248,867,90,6076,3143,19,1
249,,92,22128,,21,2
250,574,40,7003,,13,0
251,706,82,19989,8578,14,1
252,728,36,7018,,21,1
253,311,89,18624,4197,11,1
254,556,93,23888,,13,2
255,937,32,6770,9888,21,0
256,1125,48,5771,,21,0
257,1224,55,13586,,11,0
258,119,77,25098,13341,12,0
259,444,92,4258,5677,14,1
260,911,76,4077,,13,0
261,,98,17231,,18,2
262,585,,19788,,15,2
263,,61,24907,,23,1
264,1392,56,23159,2909,11,0
265,1005,79,11864,,13,0
266,,44,8787,9526,21,0
267,1299,94,16577,,13,2
268,,48,21173,6825,11,1
269,655,48,9528,,22,1
270,746,61,20682,4424,23,0
271,632,71,8423,5441,22,0
272,658,66,22887,6074,24,0
273,1467,92,22952,,14,1
274,1312,96,22310,,25,3
275,750,95,15480,6146,13,1
276,249,76,20739,6172,18,0
277,802,96,21196,,13,1
278,1355,61,8916,,23,1
279,689,35,22812,4668,17,3
280,1395,54,8504,5605,11,1
281,1436,34,16047,,20,1
282,1496,41,26283,4319,13,1
283,1480,30,15062,,12,0
284,,,4673,,13,1
285,313,98,7192,,18,0
286,894,99,11781,,16,0
287,290,65,22977,3564,12,1
288,1084,54,4185,6261,18,1
289,1002,92,23793,6804,15,2
290,1242,90,12916,,14,0
291,1052,57,16840,,12,0
292,944,92,9096,,14,0
293,465,39,21509,,20,0
294,771,79,21030,,18,0
295,1416,49,5949,19436,19,1
296,1327,39,19682,,18,1
297,488,75,14977,,12,1
298,1385,79,7501,,14,0
299,666,88,10268,,12,1
300,1315,71,19100,,18,1
301,442,44,20260,,18,0
302,147,37,15972,,19,1
303,950,48,8450,5828,12,0
304,218,100,12241,,11,1
305,,33,10675,2455,19,0
306,691,73,7143,,12,3
307,1018,74,10557,5055,16,0
308,,46,4317,4682,14,0
309,559,82,6227,5257,11,1
310,318,77,4759,2119,11,0
311,1130,56,3415,,18,1
312,144,39,11866,,14,2
313,1319,51,17001,5974,13,2
314,933,57,20156,,17,1
315,1171,46,22495,,13,1
316,143,56,9558,,18,0
317,1178,87,14862,,11,1
318,1107,95,26914,3034,12,1
319,906,86,18256,13212,11,3
320,645,49,19566,8392,16,1
321,1485,87,26314,,14,1
322,1116,49,7181,,14,0
323,1276,72,14295,,12,0
324,163,37,19658,4051,14,1
325,561,61,16177,4805,19,1
326,426,58,22808,2741,11,1
327,509,62,2112,,17,0
328,258,74,19921,5337,12,0
329,525,66,6219,,22,2
330,,72,19627,,13,1
331,238,34,7507,,20,0
332,482,36,9606,9434,15,1
333,397,88,6729,,15,1
334,243,46,7791,,20,0
335,806,76,18959,,18,1
336,1442,46,17654,,14,0
337,408,80,20978,,11,0
338,929,55,21703,5396,12,0
339,827,33,19383,,13,0
340,,,6009,,11,0
341,1018,39,19373,11159,15,0
342,703,42,11825,4960,12,0
343,294,32,4809,8793,21,2
344,314,59,19562,19189,12,1
345,654,67,3872,2216,13,0
346,427,63,20335,11713,14,1
347,501,99,25275,5304,23,1
348,,81,20420,11103,11,0
349,954,46,12388,6632,13,0
350,1434,76,14229,7587,15,0
351,657,66,25549,4335,12,1
352,240,75,26085,5980,12,0
353,791,38,9931,4244,24,1
354,570,66,16225,,13,1
355,676,35,23361,5228,15,1
356,,81,23779,2700,24,1
357,436,37,21519,,16,0
358,760,81,3698,,20,0
359,,88,20898,2366,14,1
360,661,61,7508,,13,0
361,1085,57,17725,,13,1
362,154,41,11737,2329,15,0
363,1283,52,11148,4294,12,0
364,616,41,17369,,11,2
365,498,93,13554,6725,12,1
366,530,51,5518,10325,11,1
367,805,57,23163,4447,12,0
368,903,41,2560,,18,0
369,1229,84,25952,,13,2
370,566,,24208,10845,13,1
371,1441,56,13943,,11,1
372,153,73,17802,,12,3
373,1066,32,3334,5472,12,0
374,135,62,12992,6385,14,2
375,145,95,24920,6347,12,1
376,1109,69,11135,,12,0
377,124,38,23537,7525,12,1
378,300,74,22217,,14,1
379,444,40,17323,,15,0
380,1366,72,12355,,12,0
381,857,59,7909,3660,13,0
382,1204,86,10333,,22,0
383,827,54,3129,,22,0
384,1219,32,4605,,15,1
385,770,,5569,8740,14,2
386,950,93,8039,,17,3
387,1082,83,11535,,11,1
388,203,84,13547,,11,3
389,1308,44,17544,,14,0
390,718,79,17689,,15,1
391,593,88,13782,13499,17,0
392,1384,82,13421,,22,1
393,819,44,19588,,18,1
394,1223,50,18640,,18,1
395,1361,94,21026,,15,3
396,1146,,4905,,12,1
397,,60,6865,,14,1
398,853,49,11309,3491,13,3
399,,52,10893,5220,18,1
400,1316,38,2338,,14,0
401,363,,4235,10252,21,1
402,1103,42,14377,,14,2
403,920,96,18625,19740,14,1
404,694,,3423,,14,2
405,1429,67,20002,,12,0
406,531,56,20364,,14,0
407,621,73,14075,,11,1
408,806,39,17285,,13,2
409,604,56,11693,6209,15,2
410,325,63,5747,7094,12,0
411,1030,64,21534,,19,0
412,524,32,13352,4534,11,0
413,943,86,5494,8500,11,1
414,1009,31,19461,,15,1
415,607,83,2261,4639,16,1
416,817,60,10846,5363,12,1
417,,85,9277,,17,0
418,,86,17491,,13,2
419,930,73,20003,4081,14,0
420,1147,31,16616,,14,1
421,652,100,23577,3578,12,0
422,337,84,22930,,12,0
423,971,54,5652,17328,19,0
424,1136,81,12414,,13,2
425,663,81,23099,,11,2
426,326,31,8386,10793,18,1
427,377,52,15986,,11,1
428,1038,95,19863,10851,18,1
429,1490,35,20948,10466,14,2
430,1246,77,23757,,14,2
431,224,100,7568,2362,13,0
432,441,39,7288,,13,1
433,898,38,17381,,21,0
434,,96,13693,6439,14,1
435,607,78,14618,,16,1
436,1313,31,3549,,14,1
437,1015,50,23447,5769,14,0
438,,52,24162,4385,15,1
439,426,42,17000,,13,1
440,1387,76,3835,,13,3
441,1302,,16290,4066,11,2
442,1329,59,5388,,19,2
443,602,37,10503,,11,0
444,772,77,4973,5206,17,2
